sha256,App_name,Category,Vuln type,Number of occurence
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,Network_DefaultHttpClientDeprecated,7
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,HttpCompAnalysis_BreachVuln,2
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,Network_ClearTextTraffic,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,X509Checker_BadHostnameVerify,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Permissions,Permissions_UnusedPermissions,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Permissions,IPC_PrivilegeEscalationActionTrigger,24
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Permissions,IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission,2
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,PBKDFAnalysis_LowIterationCount,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,CryptoCheckAnalysis_StaticIV,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,5
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,KeyStoreAnalysis_HardCodedKey,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Storage,Storage_InsecureApkInstallation,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Inter-Component Communication,IPC_Accessible_Service,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,X509Checker_BadProtocolVerify,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,X509Checker_BadCheckCertificateChain,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,Network_ClearTextTraffic,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,HttpCompAnalysis_BreachVuln,2
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,SSLSocketFactory_NoHostnameVerification,3
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Potentially Malicious,PotentiallyMalicious_DevicePolicyManager,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,CryptoCheckAnalysis_HardCodedKey,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,CryptoCheckAnalysis_StaticIV,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,CryptoCheckAnalysis_InsecureCryptoAlgorithm,10
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,CryptoCheckAnalysis_UnsafeECB,2
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,PasswordHeuristicsAnalysis_HardCodedPassword,2
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Inter-Component Communication,IPC_Accessible_Service,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Permissions,IPC_PrivilegeEscalationActionTrigger,5
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Permissions,IPC_PrivilegeEscalationThroughCheckCallingOrSelfPermission,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Permissions,Permissions_UnusedPermissions,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Java Code Security,JavaCodeSec_SetAccessible,7
