sha256,App_name,Category,Number of type
4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51,BSIC,Cryptography,2
4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51,BSIC,UI,2
4E7313B73F26C01FF6BC7BFD4E54F76E27BCC7738307CBA807B0D0EAB3DA1F51,BSIC,Network,3
sha256,App_name,Category,Number of type
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,Permissions,2
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,UI,1
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,Network,4
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,Cryptography,1
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,Dynamic Code Loading,1
9EC054B3CD192DA584572D1294613C6C77BD23D1646CEB542A5086C8F324ACD1,BHN Mobile,Java Code Security,1
sha256,App_name,Category,Number of type
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,Network,7
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,Cryptography,4
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,Permissions,2
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,Local Storage - Shared Preferences,1
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,App Certificates,1
B5289253D93C8862220E56F3A56CC24D75B270BB32F084F9ED5382210A5FD372,BDMKUNKAN,Java Code Security,1
sha256,App_name,Category,Number of type
477612E61D2BFFCEA85A8E0F3260301D5CF2B62F4D935A4272B65C912E7FCE2A,SG CONNECT,Java Code Security,1
477612E61D2BFFCEA85A8E0F3260301D5CF2B62F4D935A4272B65C912E7FCE2A,SG CONNECT,Cryptography,1
477612E61D2BFFCEA85A8E0F3260301D5CF2B62F4D935A4272B65C912E7FCE2A,SG CONNECT,Network,3
sha256,App_name,Category,Number of type
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,Network,8
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,Java Code Security,1
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,Permissions,2
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,Build Parametrization,1
74D9EFE9C3526BF8F9AD3833D89266ED00CA344D8BDEE3075D7AE26CE63171D1,My KEAZ par Orabank,Cryptography,3
sha256,App_name,Category,Number of type
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,Network,6
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,Cryptography,4
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,Permissions,3
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,Java Code Security,1
FF57005E83FB540006F20136C9F99D2D5A4E83416665E4FB6E11D714B8236C7D,Tamweel Touch,UI,1
sha256,App_name,Category,Number of type
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',Network,10
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',Java Code Security,1
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',Permissions,3
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',Cryptography,6
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',Backend Credentials in Code,1
8C698AD4857F40BED7A9D97C10F809EC100B5AF90A97159E0E91F188F3ECE5D3,NSIA NOVAPLUS App',App Certificates,1
sha256,App_name,Category,Number of type
9B72E86D4926E74F6423A8E4F165D4A94212908B5AE802301DAA475D068074F2,Ecobank Mobile,Inter-Component Communication,1
9B72E86D4926E74F6423A8E4F165D4A94212908B5AE802301DAA475D068074F2,Ecobank Mobile,Java Code Security,1
9B72E86D4926E74F6423A8E4F165D4A94212908B5AE802301DAA475D068074F2,Ecobank Mobile,Permissions,1
9B72E86D4926E74F6423A8E4F165D4A94212908B5AE802301DAA475D068074F2,Ecobank Mobile,Network,1
sha256,App_name,Category,Number of type
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,Cryptography,1
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,Permissions,3
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,Network,4
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,Java Code Security,1
1FB94FC79A77BDCD7CED06409FC3B80F8E9B38507309FC1EB57B5E75B3024AFD,MyBOA,Storage,2
sha256,App_name,Category,Number of type
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,Java Code Security,1
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,Storage,2
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,Permissions,2
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,Cryptography,2
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,UI,1
D8B6EC3DD9BDF8D4FEE490BE3FE1E4A7D2B78ACB92A39EADA636E2EFABE656A7,CBAO Mobile,Network,4
sha256,App_name,Category,Number of type
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,Network,7
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,Local Storage - Shared Preferences,1
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,UI,2
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,Logging,2
E584F9943ECADDA74B46A9959D0D2BF03EA317699934A484C7170E1255547A2B,Versus Mobile Banking,General,1
