sha256,App_name,Number of category
5CEBDBC867A7A764FFFCE146041805E570A7BCF811CBD4CDC3BDB0FEF0EEC5E5,BHLink,6
CDF33716BD6F265905E07C4CE1B724267F700D88F80A7CE2B9782E572816F832,Orange Bank,6
64265718034829378A792306AF3D36ABBE689C25BD41C529CDDE03BC0E8279B4,NSIA NOVAPLUS App',6
2A5BCB55432B19A28E219AD88C2390010B3D7318C30927C1A9F3CA3B3F16392B,Banque Populaire Côte d'ivoire,5
940799CEC88BDF9187FB7EF66DDBEA3CE37F4FC5C6AAD1AEFEBCCC9E35086BAC,UBA Mobile,4
8295B4A914140A7F2ED7E6BB9467EF63D308EA6B470183C84189CC593330591F,Versus Mobile Banking,6
7ECA804ABA2E83734020B4B6DB9434A2364FF6BE0F8BB6D3759D30BF23036910,Ecobank Mobile,7
3F14A6CF436DF6DF370FF86696C29B1CD6CCD3C421EFD8948DF627B0D17F32FE,SIBNET,5
A5C1177C6CA66E3979B457F2E900D023E64BE29D9357AEA7B1EEA26727D932C8,BHLink,5
5B524DFEDD6E430ED1E3493F43A3B2352C4A2CF2E4AF904A3A12BECE6D0854BB,Banque Atlantique,5
14D419FB6D8692D7C7996B9FF1F6DE4D6F9D7144401E5763D7FA24C5A8D8513D,My KEAZ par Orabank,5
67FDFA60EF5DBFD5A793931878796B11C67D0C475A2F93767ED57E971EF4ADBF,CBAO Mobile,4
AB77510893F1747F1E76F6769E317F8066CB44EE0AFA3377A5BC47C71EF8B51C,Ecobank Mobile,4
8DBB71B5782467E6397D4F1B78EB6A9BCD4C97D4FAB46D9D9C1269FDCA938608,SC Mobile,5
816295C0E1E515471219B8833BBDEF218667EF2DDDDB64EBB505DA37D056FCA4,CBAO Mobile,6
F10FFEEACE95672BE839FAAF8C0E8590534BC7C91767750397C26E1BAEE51616,BDMKUNKAN,6
C9AAC33F388D0015DCF818127058A8C1B9A4CC06FA363DB5DAEFD9951E1FF6DA,NSIA NOVAPLUS App',6
35174EF30E032A1DD1C77DDF62438602F3A7ED766E1274A9533E9B15869C9B9D,BMSKIBARU,5
399A4A001FA9BD8A5E0D75938CB3C2A3FDEDF332802968E26E9FB5ED3FD214E2,Standard/Stanbic Bank,5
C84A0B97E1DBB6912C1C1AF79E5FDFF1CD170BCA5B58479500A1F2EB32453EF7,BNIONLINE,6
F3B6B5F99C23EE6909380C0A138178407681F775027A06AD90AA382BAEAB60A8,GTWorld Côte d'Ivoire,2
80165FF63C63D7EBE0531FB4EB3A6CB52DAF469ABAF45470620CE4D09C32ABAD,Atlantique Mobile,5
8F2E3B6255F103F97F7D67EB3C9350E4F7D7513921777FE66DC28BAA5B2BFF1F,Ecobank,6
6673E13D5587A7EB390395F2AFBD0E99D44F314938BF70C05724014A3E67BF85,Al-Izza Money,5
024B486EF39896DB58A8119AB13D751EF8DA1021633C97365356C6B877BD9F86,Facilliss,7
1545FE9AF2F97873241C7504C3860140F22CA26BFFF16437606994C344F31AF3,Standard/Stanbic Bank,7
567BB97AA8D27992329F7CCF1031917A34319132077330C2117B772B5B484D34,SARA,5
A62E9FF9053A464FB4876AD7140EDD9C99E5263330E6C2737BE75362C90E55E4,Al-Izza Money,5
403A2948FF745FE41696047E88DA884A1CA0751522FB28026FA0BCA023FF4FC3,BMSKIBARU,5
7E870A7D7F4A2B5CA71002470973ABF0EA66CA14E0B6C6DAC42184226AA8DD87,SARA,3
82762A1C1DC1A4134D3A4ECB05D19F153808099DDD88D39C6F3F48A578A004A2,MyBOA,5
95D70C65269E0250AE691FD3A78CBBC3857035822205C39A7B32B3F59EE814B1,BICIAB,3
2CA23A1415BB6B7E0C23237916C6662AB8FD7004A88F9D0119D90A48886A2C50,Coris Money,4
623BFADA31E98130D3FB39DB7EE1CB62F0CF3744B58C4E1DAA084923382CA005,BDMKUNKAN,6
CC54E0308887797928FD39D0985DA9D2939F56C01C484C4C71F7E3487EFF9724,Wafacash,5
A8D71B4BD79C7D661A22DFA076F8C9FC51D3ED07A7232F7F977451BC86945133,FBNMobile Senegal,6
E95079968D27A2219B239AFACEAF056B4C41F57183CEEB4843C5525066B2C420,Ecobank,6
0748E4588FD39E15F05EB646184926EFFA3874E6B063627455B79D70A0653927,MyBOA,5
11E8911A226FEC74C61B2ED2617C9081D08BD792C5100E8662A2B340C3125B9C,Outarde,4
535AD28B9747F67204AEA01AEE1CE5DCA5B61AAD18D7CE65289DAE3BDAA2D288,FBNMobile Senegal,3
17D7FB1178B60AAE17AC2437DA3AAB2F427389D9C7490BDF060EFF71B9B40448,Coris Money,4
6AAFAC49450D9EC6B1FE7BBD80962D7B5C80972DE009DCE53F7C0325D25A97C9,Orange Bank,6
B4397595F2F43A4D29E4B7C4B38B5950CEE403DE685001A545234A7C023FC7D4,Standard/Stanbic Bank,7
1CEDC6083D960265ED658E7A49C02E0FD78D43F6F9B7E5CA1A253A6F6E31E7DB,Standard/Stanbic Bank,5
FCDC3616C3897FC659034A3E6AA865EDA5BFDEFE6B917021B45BA4D153ED508A,Outarde,5
73B736A3B246E6B81F3D89EDBF015FCC9589CC66CE6339E9E837A849447EECFB,BAGRINET,6
BA78B2D8706F4C3A753259A5F58953953E0E0D6BD59524A52FC6803A4AA46EC6,GTWorld Côte d'Ivoire,3
9D525271BFBC9B953288A64B3593EDECA9419CB21B32A5F95ACFE0B7FC6A8891,UBA Mobile,4
4AF999BD55EBEA84A1DB6B65DFA663A31C3C5BAD13EEFC869D572D663517373E,Ecobank,6
E28D6F1F21C64446FEA30E1AEF94F4CFC4858E30E81138DF791A6C9E7DDA84F0,Citibank,5
DD00A8025B6BBC9678DE2D349376F516D67A57E1256A7815D4279179DAEAF29F,BOA Mali,6
2845A03A1AA69AEFC01A9052D4D7C50673339248E80EADB8943410AE305F4137,Wafacash,4
9996ADBACBAC9CB465538DB341C2BB01D1F2E439987F68B387AD8A647E85D043,BDMKUNKAN,7
8777408D1EDEF2D14B74125418F56C3640177BCAFF418F6948CC5BD10B08802A,BNIONLINE,6
7C611ADB9FBA6B2EADEBBFBC9A5794297CA1318F6177A0A2A096ED92F4B9B069,BDU Mobile,2
41086BA5639ABC247A7F0B5E320B2942E73BC4E973C84E8950AB0F594B3AC5CB,BGFIMobile UEMOA,4
A1DA02F34CFBB9B5164B20194768CF6A3A45F47FA508ED239D9A9F480DD944F6,SG CONNECT,5
A47971FCCE61714FD218DE3374F28F80B9F3851E84A9F8F2CB95A4721C9EE0F2,e-connect,6
42F3982295246995292D6A940F546DAAEDBDBF9B76F0670149D59E9DAF4D6F61,ID Money,5
781D2053A04057B7B6F556BF2F3DBA68E14F5228D06F215C27E247E2CD229E6F,Outarde,4
83A66F50F9F646E9B318202E631D7EF04205DE44765B7EC17F2014F1445D4415,Tamweel Touch,4
9A67BD13A6B5043BE21ECF6A4450821AE0494E6374A138780CF47D13DB05F024,SARA,4
298D242E12F47CA2A9BD60886F99CD6610A9EA00038AB7C4376F2E47A7021C0A,BSIC,6
DAA125567B1AFD4F0F239A950DB1B6DAA6431614EA3E7BC5258A1B7B4DC4A5FE,Coris Money,4
E250C263EAA9171D56414E6EA7E38222DE9A2E0217B25FC09B115A7956AA93C9,CDS Online,4
49F0CE7D38A3661B2C4332AC888060119004F9E2F78DFDD1B3EAF97DE46B8021,GTWorld Côte d'Ivoire,2
B880376F6AC8F61234D7960BA9C0EDB55E6722B0323756CC78AFDBCBFC90F9CD,Mobile Banking,4
9D9A6D6F7B58BA12388D6E88ED8D4B60193A5B194B9199DC10A8CF6798919C27,BIAT,5
73922BE1A02D950D72936D07FB0D09F3FFFFB4B76D219019CE2E5A0762CBB2A2,BICIS,3
FF0234E7B09D83B9B7835DCEFC618202DCCD28ED183A913978EE5A8C56DE7CFD,Wafacash,4
1E3F80E07FF3C35FABE1E87CD7D42B864F95DBAF99D43428778CF38423268570,ALease Pro,5
B3F928E3FDFABA61F8179641D9A46D32CBB90DBF454CC57CE37DB808B3BCED5D,BNI GeoTracker,5
6861DA671C77C967B938B602F1C97AD81D98FCE74D63BB4066BBF03C3E9F4592,SG CONNECT,5
190940276AFAE001391FC387221F03F2180D9BCE8DA8D2CC3DE7C505E99C6A86,GTWorld Côte d'Ivoire,2
5240DDB66AA97134B829B4A04223C4DB2C77C48B692BD27ACC5B792E58DACC43,SG CONNECT,3
