"sha256"," sha1"," md5"," dex_date"," apk_size"," pkg_name"," vercode"," vt_detection"," vt_scan_date"," dex_size"," added"," markets"
"02BF9D015C06A35FB8C33C893713536A1266BD96A5E17FA645E3174866A81AC6","6B86DFA325E51B3A8CAAABC50F5A0A1196620A83","6DF761719CDF9CE5E259C26B4B82F197","1980-01-01 00:00:00","26789976","com.ofss.afgbank","10005","0","2022-01-23 11:05:51","5737176","2021-12-24 12:57:37.103469","play.google.com'"
"5B524DFEDD6E430ED1E3493F43A3B2352C4A2CF2E4AF904A3A12BECE6D0854BB","F533E53037E45EFD38786CB314D92F8CF9748BBF","BA062E6B412373732176B859229691F7","1980-01-01 00:00:00","29901341","com.ofss.afgbank","10003","0","2021-10-14 07:25:38","5499928","2021-09-14 02:58:28.270328","play.google.com'"
"F065A8A59A25047EE577D75C02AD8C8E8CE88685B2CB20600B57B67E5BA41455","540F72962186C6A63D6B7DBBB0E03F8019041CC7","C9D593D22DA28572E109E2C3A473C962","1980-01-01 00:00:00","29905437","com.ofss.afgbank","10001","0","2021-05-18 07:20:31","5499928","2021-04-18 12:03:10.166728","play.google.com'"
"17705062E5E8007F85164812461E589C2E6B35DB246C4CA581D193C96C194BDA","4DE238CDED2AC5B94D1FC480BFBE15FF0E24D5FF","8CDD7338A00210DE04AEE20894C13BD6","1981-01-01 01:01:02","10550536","com.alizzawallet","32","0","2022-10-20 16:04:37","8637872","2022-09-02 14:43:31.448047","play.google.com'"
"1876918B09C3E1783693E0FEB514D812344109729187D9C8AF6C4A23187B4BA6","B2C09BD8C37D04590A846AFCB976B2A611C481D7","9D92883CB41475FEB0F54CF7B316097B","1981-01-01 01:01:02","10325254","com.alizzawallet","18","0","2022-05-05 07:38:23","8652792","2022-04-05 17:24:49.032921","play.google.com'"
"1C829A1F0D36B67FE05A719DB0F8036CADCFE28266CB31A17DC2A11039CCD112","F6C908640F6E4EF49A5F3F4260ED96AC935797B9","A027000F639E8578CB6153D0ABAE38FE","1981-01-01 01:01:02","10316807","com.alizzawallet","7","0","2021-10-26 09:40:14","8628032","2021-09-26 20:54:20.29941","play.google.com'"
"2FF3689D030FAB1816CE733FEA26C468395D6B15E9E0AD3C3EC5A12830D2DAC0","A977031713530A945FEA5258E9DDA9F5492F603B","499AC1977FDCE47CCF42B72884465AB1","1981-01-01 01:01:02","10279943","com.alizzawallet","8","0","2022-01-18 08:58:31","8628032","2021-12-19 17:35:18.457833","play.google.com'"
"3D5D9C688B094E8689730607D7B89C0963F5751EFE952D1D16CF7FB51E471275","7E53936AF07CC60B4AD211E6B33EB54057051C3C","2F93ABEE5AC1681BF5D95FC263D99558","1981-01-01 01:01:02","10296327","com.alizzawallet","13","0","2022-03-05 10:28:59","8652720","2022-02-03 14:11:22.792834","play.google.com'"
"6415C458100F8915997F4C2F14DA3D77347CBA8BDF2419A60153641DCFE2B61D","3495F605F5818DC03B6F5BD70883E6AF90A8A806","78A94EEF382BD30A92DF6852B8B1ED9B","1981-01-01 01:01:02","10493190","com.alizzawallet","20","0","2022-05-21 07:05:43","8654168","2022-04-21 02:03:39.67147","play.google.com'"
"6673E13D5587A7EB390395F2AFBD0E99D44F314938BF70C05724014A3E67BF85","55377EE3934E8ECA1EBD57841564F49932147B3D","62B60C470DF8D0A964B290EBE772E42D","1981-01-01 01:01:02","10493190","com.alizzawallet","29","0","2022-05-30 05:58:44","8654168","2022-04-30 05:29:05.732514","play.google.com'"
"72EE63CD32089EA3B5882B5EF9338764F5A7596576FD4999C9E747A495752DAF","DEAF92CCB5BAEE7C66630EA125E98A0991C5245F","A2FE1824B76472D4D1D222480B262720","1981-01-01 01:01:02","10279943","com.alizzawallet","9","0","2022-01-20 09:14:35","8628032","2021-12-21 13:15:38.783995","play.google.com'"
"8BD1EC51B5316ED9C8E0377E4FD9BD162BB9845902BEF077367962843486BFC7","BD9800423E322CEF0C894689BCC51B9FEB8AC989","AADF1EF8D3BE561287B9EEAD28BB1370","1981-01-01 01:01:02","10325254","com.alizzawallet","17","0","2022-04-23 08:18:05","8652792","2022-03-24 22:12:57.378476","play.google.com'"
"9A50BCC6054CEEEA7560BA2812E6F4B62D91FC1CCDBA42D15C361EA85B44EE6D","51D9481E682B7C9D04E152395DCB5D9EC518BD96","B4C6CAA9B13C15C7E50307E026825DC6","1981-01-01 01:01:02","10550536","com.alizzawallet","31","0","2022-10-14 10:42:42","8637872","2022-08-28 14:41:14.623346","play.google.com'"
"A62E9FF9053A464FB4876AD7140EDD9C99E5263330E6C2737BE75362C90E55E4","B2F949CD29863BA2AAE2D3036BC21241EF082B0E","7B5B0D5DFFBD58C5EC18D829FB2F62DC","1981-01-01 01:01:02","10316879","com.alizzawallet","15","0","2022-03-21 07:35:54","8652720","2022-02-19 07:46:07.468958","play.google.com'"
"A6B7B237C3FB7A28D92E8F4AA29277F263E347E4DA7D7C45687A79D2EE1F6820","28609C6EBB9CAEBE41101A2345BD2A8D7CA40C43","28B2671ABB37A5DFA41257B63524CB0F","1981-01-01 01:01:02","10316879","com.alizzawallet","14","0","2022-03-15 07:57:20","8652720","2022-02-13 05:46:14.660382","play.google.com'"
