"sha256"," sha1"," md5"," dex_date"," apk_size"," pkg_name"," vercode"," vt_detection"," vt_scan_date"," dex_size"," added"," markets"
"76E63CEB01DB056791DAE374DB66778B12C6CA1FA0978059456BBC84A35BE021","A3F6C997551C41D022C3DE4E68CF4E17E71079E5","C673A60329DFBFD72D9C512AE999FC18","1981-01-01 01:01:02","23165185","com.ofss.afgbank","10006","0","2022-12-22 13:04:15","6192240","2022-11-22 10:06:29.450537","play.google.com'"
"17705062E5E8007F85164812461E589C2E6B35DB246C4CA581D193C96C194BDA","4DE238CDED2AC5B94D1FC480BFBE15FF0E24D5FF","8CDD7338A00210DE04AEE20894C13BD6","1981-01-01 01:01:02","10550536","com.alizzawallet","32","0","2022-10-20 16:04:37","8637872","2022-09-02 14:43:31.448047","play.google.com'"
"B1C28E979F766F721C2460C6F909378BC6E45F0E187E9774BC516DE6637D7D2D","FDDAA1963F20143D447263A672BF4DBA40B6FB60","B698D82B33C3F57AFCC62BD270FF1715","1980-01-01 00:00:00","6104955","com.tout4web.components","270","0","2022-10-22 13:44:50","6811660","2022-09-06 07:51:49.455872","play.google.com'"
"6E89548078301A2FF297D373BA2E343473C23CC8232C0D01080FCDEF4985B954","BF6E719EE5FEECA8BB133990B023304B74E5EED6","C21EAA5217D08B796A37547FC5134A78","1980-01-01 00:00:00","5065626","com.tout4web.marchant","170","0","2022-10-18 08:20:26","6765368","2022-08-31 04:45:31.537418","play.google.com'"
"44F0FAA505A5F4D7B8F3EB1BDC6339F7D0832F66D0ACB0415F5EADADEC6FA932","542D1106674BBFD57F8EB84312FA408E3D6A979B","778B32557B12B34814067396B04C30B1","1981-01-01 01:01:02","10520580","net.banqueatlantique.mbanking","62","0","2022-09-30 12:09:58","5421368","2022-07-27 13:18:36.160101","play.google.com'"
"773D0C54AC89551FCA0300D8B2B02749456C6B7B364578484B54D2FA696E99AE","0A6CB070E4D4046F0A185F04DC1BD1F4646ACAF8","D54F94FAB78A20FC8FAE497CFB46F215","1980-01-01 00:00:00","60799203","com.mediasoft.bagri","3","0","2022-01-13 14:45:17","10659952","2020-07-04 08:58:55.529528","play.google.com'"
"1E06E3798C70F6F763F346270C0F3DEEADEA116ED26E0762B60CA7FB0B504D0E","F09FE01EE48C6582534E76205958AE66976FF1B6","F23B2F3ED0E70069B2617AED814711A5","1981-01-01 01:01:02","5911918","gw.bao.mobile","94","0","2021-10-14 08:37:25","5556464","2021-09-14 12:57:52.103774","play.google.com'"
"0BC7B8782674821F44DEB7B24D273F0AC456F61AF6F4F8ECACF95595242C7B7C","87C85C0F25BC70D1661B2B6E387B9A4087633E31","FE473566A15054B56976E21F18E36683","1981-01-01 01:01:02","1331070","ci.net.bda.mobile","60414","0","2022-12-08 05:49:58","2217808","2022-11-08 04:37:38.441189","play.google.com'"
"87A9C39197C9A4694E41AD820355B1835C2733C9F529DAFAC3C8C99444BEF8A8","63BAA6F3213F761C3DEC4CDE0666E1B3E9BF60B1","BCE0E068605EF209536C206AD4BE8DC8","1981-01-01 01:01:02","1347411","sn.bdkmobile.www","60412","0","2022-07-04 09:35:22","2217788","2022-06-03 22:25:29.997984","play.google.com'"
"67AD77E90949D854133D5DDCECFEB4A3D88549DD7E0F569009920FC3358B6C26","9D7DF3FA796DFCC913BD976535110A9BB701ECA3","7FB1BD102A501769EEDA1413DBB5903E","1981-01-01 01:01:02","12001861","com.mediasoft.bdmsenegal","4","0","2022-11-24 08:03:46","11271892","2022-10-25 18:25:00.363722","play.google.com'"
